Time,airbnb_price,England,London,change_in_average_private_rents
2015/4/1,102.6137991,"221,227","442,449",133.6423841
2015/9/1,101.0023264,"227,969","464,915",136.2
2016/2/1,96.08008305,"236,688","492,339",137.8807947
2016/6/1,96.75343526,"239,149","493,322",138.9403974
2016/10/1,97.89525411,"239,689","493,364",140
2017/3/1,96.09962155,"241,016","495,452",140.397351
2018/4/1,103.6738264,"240,810","474,643",140.5298013
2018/5/1,103.8088458,"240,076","472,479",140.5298013
2018/7/1,106.0202166,"240,857","470,416",140.6622517
2018/8/1,106.5149642,"239,079","464,329",140.794702
2018/9/1,107.2412656,"239,491","462,702",140.794702
2018/10/1,108.5892007,"239,530","467,566",140.794702
2018/11/1,108.9392234,"239,481","464,716",140.794702
2018/12/1,111.9481166,"238,019","461,343",140.9271523
2019/1/1,112.4006718,"240,137","462,081",140.9271523
2019/2/1,113.6560862,"238,350","457,324",141.0596026
2019/3/1,115.9319592,"238,365","456,753",141.192053
2019/4/1,116.5994402,"235,392","452,594",141.3245033
2019/5/1,118.3210222,"234,657","444,145",141.7218543
2019/6/1,118.943715,"234,316","450,120",141.7218543
2019/7/1,121.6563029,"234,834","451,453",141.986755
2019/8/1,122.1504574,"233,438","445,618",141.8543046
2019/9/1,129.7510232,"235,161","452,581",141.986755
2019/10/1,122.1061785,"235,876","451,988",142.1192053
2019/11/1,122.3367659,"235,285","449,513",142.2516556
2019/12/1,126.8852884,"234,827","456,578",142.5165563
2020/1/1,126.1936608,"238,152","458,839",142.6490066
2020/2/1,127.994553,"236,618","459,781",142.6490066
2020/3/1,128.5469936,"237,060","465,494",142.9139073
